Pergunta;Opo 1;Opo 2;Opo 3;Opo 4;Resposta Correta
Quais dos países listados abaixo fazem parte da Escandinávia?;França, Espanha e Inglaterra;Sérvia, Croácia e Eslovênia;Dinamarca, Suécia e Noruega;Ucrânia, Romênia e Bielorússia;3
O maior oceano da Terra é o...;Oceano Pacífico;Oceano Atlântico;Oceano Índico;Oceano Glacial Antártico;1
O barômetro é um instrumento científico utilizado para...;calcular a área de uma superfície;medir a pressão atmosférica;determinar a temperatura em um certo ponto da Terra;calcular a velocidade do vento;2
É um fenômeno óptico no qual um brilho é observado no céu durante à noite. Ocorre nas regiões polares.;Lua vermelha;Sol da meia-noite;aurora boreal;Lua de cristal;4
Qual é a capital do Canadá?;Toronto;Quebec;Ottawa;Winnipeg;3
O mais populoso entre os estados brasileiros abaixo é:;Alagoas;Bahia;Ceará;Rio Grande do Sul;2
A região da Groenlândia pertence a qual país?;Estados Unidos;Dinamarca;Canadá;Espanha;2
Qual o nome do explorador que conseguiu dar a volta ao mundo entre os anos de 1519 a 1522?;Vasco da Gama;Fernão de Magalhães;James Cook;Roald Amundsen;2
Como os navegadores marítimos faziam para se orientar  no século XV?;Eles se orientavam através de barcos.;Eles se orientavam através dos astros como o Sol, as estrelas etc.;Eles se orientavam através dos ventos e das marés.;Eles se orientavam através do instrumento chamado bússola.;2
De que material é feita a agulha de uma bússola?;Ela é feita de ferro.;A agulha da bússola é feita com propriedades do imã, magnetizada.;Ela é feita de vidro e areia.;Ela é feita com materiais retirados do mar.;2
O que significa a sigla GPS?;Sistema de numeração decimal.;Sistema de localização mundial.;Sistema de adaptação local.;Sistema de posicionamento global.;4
Quais são os continentes do Planeta Terra?;América, África, Oceania e Antártida.;Europa, Ásia e Oceania.;América, Ásia, África, Europa e Oceania.;América, Ásia, África, Europa, Oceania e Antártida.;4
Qual é o oceano que banha o continente africano  tomando como referência a linha do Equador?;Oceano Atlântico.;Oceano Índico.;Oceano Pacífico.;Oceano Glacial Antártico.;1
É um curso natural de água que pode se originar de fontes subterrâneas  das chuvas e do derretimento de neve e de geleiras;Cachoeira;Mar;Rios;Lagoas;3
O estudo dos rios e de outros corpos-d’água é chamado de;Vegetação;hidrografia;Relevo;Oceano;2
Rios temporários:;Rios que se encontram com o mar.;Rios que formam de cachoeiras.;Rios que nunca secam.;Rios que secam naturalmente durante um período do ano.;4
Ponto de origem de um rio:;Nascente;Poente;Início;Final;1
Rio que nunca seca. Ou seja  apesar de poderem apresentar fases de maior ou menor fluxo de água  esses rios são contínuos.;Rios permanentes ou rios perenes.;Rios temporários;Rios que encontram o mar;Rios;1
Qual é o idioma mais falado na União Europeia?;Alemão;Francês;Inglês;Espanhol;1
Qual é a cidade mais populosa da União Europeia?;Bruxelas;Lisboa;Madrid;Londres;4
